# 现代常用多音字读音表，用于手写反查时的读音标注。
# 数据来源：https://github.com/mapull/chinese-dictionary (MIT License) character/polyphone.json
# 仅保留字符与读音，U+0261 已规范化为普通 g。格式：汉字<TAB>读音1,读音2,...
丁	dīng,zhēng
憕	chéng,dèng,zhèng
憘	xǐ,xī
憞	duì,dùn,tūn
憢	xiāo,jiāo
憦	lào,láo
憪	xián,xiàn
憹	náo,nǎo,náng
憼	jǐng,jìng
憿	jiǎo,jǐ
懁	xuān,huān
懆	cǎo,sāo,sào
懙	yǔ,yú
懜	mèng,méng,měng
懞	méng,měng
懠	qí,jī,jì
懢	lán,xiàn
懰	liú,liǔ
戂	mí,mó
戅	gàng,zhuàng
戆	gàng,zhuàng
戏	xì,hū
戗	qiāng,qiàng
戯	xì,hū
戱	xì,hū
扁	biǎn,piān
扄	shǎng,jiōng
扇	shàn,shān
扎	zā,zhā,zhá
扐	lè,lì,cái
扒	bā,pá
打	dǎ,dá
払	fǎn,fú
扚	diǎo,dí,yuē,lì
扛	káng,gāng
扜	yū,wū
扝	yū,wū,kū
扡	tuō,chǐ,yǐ
扫	sǎo,sào
扲	qián,qín
扷	bā,ào
扸	xī,zhé
扻	zhì,sǔn,kǎn
抂	kuáng,wǎng,zài
抇	hú,gǔ
把	bǎ,bà
抌	dǎn,shěn
抐	nè,nì,ruì,nà
折	zhē,zhé,shé
抙	póu,pōu,fū
抝	ǎo,ào,niù
抡	lūn,lún
抢	qiǎng,qiāng,chēng
抧	zhǐ,zhǎi
抪	bù,pū
抭	yǎo,tāo
抲	hē,hè,qiā
抳	nǐ,ní
抷	pī,pēi
抹	mǒ,mò,mā
拁	jiā,yá
拂	fú,bì
担	dān,dàn,dǎn
拆	chāi,cā
拉	lā,lá
拌	bàn,pàn
拓	tuò,tà,zhí
拗	ǎo,ào,niù
拘	jū,gōu
拚	pàn,pīn,fān
拧	níng,nǐng,nìng
择	zé,zhái
括	kuò,guā
拮	jié,jiá
拵	cún,zùn
拶	zā,zǎn
拸	yí,chǐ,hài
拺	cè,sè,chuò
拽	zhuài,zhuāi,yè
拾	shí,shè
挄	kuò,guāng
挆	duǒ,duò
挍	jiào,jiāo
挎	kuà,kū
挐	rú,ná
挑	tiāo,tiǎo
挕	dié,shè
挝	zhuā,wō
挟	xié,jiā
挡	dǎng,dàng
挣	zhèng,zhēng
挨	āi,ái
挮	tǐ,tì
挱	suō,sb,shb
挳	kēng,qiān
挷	bàng,péng
捁	jiǎo,kù
捇	huò,chì
捈	tú,shū,chá
捊	póu,pōu,fū
捋	luō,lǚ
捎	shāo,shào
捒	shù,sǒng,sōu
捓	yé,yú
捔	jué,zhuó
捗	bù,pú,zhì
捥	wàn,wǎn,wān,yù
捬	fǔ,fù,bǔ
据	jù,jū
捰	wǒ,luò,luǒ
捲	juǎn,quán
捻	niǎn,niē
捼	ruó,wěi,ré
捾	wò,xiá
掅	qìng,qiàn
掇	duō,duo
掊	pǒu,póu
排	pái,pǎi
掔	qiān,wàn
掖	yè,yē
掗	yà,yǎ
掙	zhēng,zhèng
掜	nǐ,niè,yì
掝	huò,xù
掟	zhěng,dìng
掫	zōu,zhōu,chōu
掸	dǎn,shàn
掺	chān,xiān,càn,shǎn
揁	zhēng,kēng
揂	jiū,yóu
揊	pì,chè
提	tí,dī,dǐ
揔	zǒng,sōng
揕	zhèn,zhēn
揘	huáng,yóng
揝	zǎn,zuàn
揟	xū,jū
揣	chuǎi,chuài,chuāi,tuán,zhuī
揥	dì,tì
揭	jiē,qì
揰	chòng,dǒng
揲	shé,dié,yè
揵	qián,jiàn,jiǎn
搁	gē,gé
搂	lǒu,lōu
搊	chōu,zǒu
搑	róng,náng,nǎng
搒	bàng,péng
搕	kē,è
搙	nù,nuò,nòu
搚	lā,xié,xiàn
搟	xiǎn,xiān
搩	jié,zhé
搫	pán,bān,pó
搱	zhì,nái
搲	wā,wǎ,wà
搷	tián,shēn
搻	ná,nuò
摄	shè,niè
摋	sà,shā
摌	chǎn,sùn
摎	jiū,liú,liáo,jiǎo,náo
摓	féng,pěng
摕	dì,tú,zhí
摖	qì,jì,chá
摗	sōu,sǒng
摙	liǎn,liàn
摢	hù,chū
摨	zhì,nái
摩	mó,mā
摪	jiāng,qiàng
摮	áo,qiáo
摰	niè,chè
摱	mán,màn
摲	chàn,cán
摵	sè,mí,sù
摷	jiǎo,chāo
摻	chān,xiān,càn,shǎn
摼	kēng,qiān
摽	biào,biāo
撅	juē,jué
撇	piē,piě
撍	zǎn,zān,zēn,qián
撒	sā,sǎ
撗	héng,guàng
撜	zhěng,chéng
撨	xiāo,sōu
撩	liāo,liáo
撮	cuō,zuǒ
撱	wěi,tuǒ
撽	qiào,yāo,jī
擂	léi,lèi
擏	qíng,jǐng
擖	qiā,jiā,yè
擗	pǐ,bò
擞	sòu,sǒu
擳	zhì,jié
擸	liè,là
擽	lì,luò,yuè
擿	tī,zhì
攈	jùn,pèi
攊	lì,luò
攋	là,lài
攎	lú,luó
攒	zǎn,cuán
攠	mí,mǐ,mó
攭	lì,luǒ
攱	guǐ,guì
攲	qī,yǐ,jī
攼	gān,hàn
敄	wù,móu
敊	chù,shōu
敋	gé,guó,è
敎	jiào,jiāo
敓	duó,duì
教	jiāo,jiào
敠	duō,què
散	sàn,sǎn
敦	dūn,duì
敧	qī,yǐ,jī
敪	duō,què
数	shù,shǔ,shuò
敱	ái,zhú
敳	ái,zhú
敻	xiòng,xuàn
斀	zhuó,zhú
斁	dù,yì
斄	lí,tái
斖	wěi,mén
斗	dǒu,dòu
斡	wò,guǎn
斦	yín,zhì
斺	chǎn,jiè
於	yú,wū
斿	liú,yóu
旁	páng,bàng
旄	máo,mào
旇	pī,bì
旋	xuán,xuàn
旰	gàn,hàn
旲	tái,yīng
旳	dì,de
旴	xù,xū
